user_id,week_year,num_ascolti_totali,num_ascolti_artista,artisti_univoci,generi_univoci
Alexrrrr,2015/49,3,0,3,2
Alexrrrr,2015/50,14,0,10,8
Alexrrrr,2015/51,10,1,10,5
Alexrrrr,2015/52,3,0,3,3
Alexrrrr,2015/53,20,0,14,10
Alexrrrr,2016/01,6,0,5,4
Alexrrrr,2016/02,5,0,5,4
Alexrrrr,2016/03,7,1,7,4
Alexrrrr,2016/04,13,0,8,3
Alexrrrr,2016/05,10,2,5,3
Alexrrrr,2016/07,18,0,12,4
Alexrrrr,2016/08,8,0,8,7
Alexxxisonfire,2011/46,150,2,66,19
Alexxxisonfire,2011/47,2,0,1,1
Alexxxisonfire,2012/21,16,0,13,2
Alexxxisonfire,2013/49,8,0,8,1
AlfieTheBest,2011/42,95,4,22,10
AlfieTheBest,2011/49,1,0,1,1
AlfieTheBest,2011/50,7,0,2,2
AliBaker85,2011/01,11,0,11,7
AliBaker85,2011/02,26,0,21,12
AliBaker85,2011/03,16,0,14,9
AliBaker85,2011/04,4,0,4,4
AliBaker85,2011/06,21,0,19,9
AliBaker85,2011/09,7,1,7,2
AliBaker85,2011/10,5,0,5,4
AliBaker85,2011/11,4,0,4,3
