user_id,week_year,num_ascolti_totali,num_ascolti_artista
NekuraManji,2015/24,5,0
NekuraManji,2015/26,5,0
NekuraManji,2015/27,17,0
NekuraManji,2015/29,13,7
NekuraManji,2015/30,14,0
NekuraManji,2015/31,8,0
NekuraManji,2015/32,15,3
NekuraManji,2015/33,5,0
NekuraManji,2015/34,5,0
NekuraManji,2015/35,10,0
NekuraManji,2015/36,8,0
NekuraManji,2015/38,18,0
NekuraManji,2015/39,12,0
Nhojissimus,2010/49,10,0
Nhojissimus,2010/50,24,0
Nhojissimus,2010/51,1,0
Nhojissimus,2011/11,1,0
Nhojissimus,2012/24,1,0
Nhojissimus,2012/25,5,0
Nhojissimus,2012/26,12,0
Nhojissimus,2012/31,5,0
Nhojissimus,2013/07,6,0
Nhojissimus,2013/21,1,0
Nhojissimus,2013/24,1,0
Nhojissimus,2013/25,1,0
Nhojissimus,2013/30,2,0
Nhojissimus,2013/31,5,0
Nhojissimus,2013/32,22,0
Nhojissimus,2013/34,1,0
Nhojissimus,2013/36,3,1
Nhojissimus,2014/05,8,0
Nhojissimus,2014/11,3,0
Nhojissimus,2014/17,1,0
Nhojissimus,2014/44,4,0
Nhojissimus,2015/03,9,0
Nhojissimus,2015/18,19,0
Nhojissimus,2015/22,3,0
Nhojissimus,2015/38,10,10
NickTuck,2010/41,1,0
NickTuck,2010/42,24,9
NickTuck,2010/43,27,3
NickTuck,2010/44,23,0
NickTuck,2010/45,55,1
Noobleton,2015/35,43,14
Noobleton,2015/44,13,0
Noobleton,2015/45,6,6
Noobleton,2015/46,50,0
Noobleton,2015/47,16,0
Noobleton,2015/48,3,3
Noobleton,2016/03,7,0
Noobleton,2016/12,13,0
Noobleton,2016/13,18,0
O8lewisjos,2013/31,68,2
O8lewisjos,2013/32,57,9
O8lewisjos,2013/33,14,0
O8lewisjos,2013/34,9,0
OmgDibble,2011/11,15,3
OmgDibble,2011/14,51,1
OmgDibble,2011/15,90,7
OmgDibble,2011/16,5,2
OmgDibble,2011/17,2,0
Ordinary-Monkey,2016/08,36,0
Ordinary-Monkey,2016/09,31,0
Ordinary-Monkey,2016/10,38,0
Ordinary-Monkey,2016/12,28,6
Ordinary-Monkey,2016/14,30,30
PhilSlot,2015/39,3,0
PhilSlot,2015/47,26,2
PhilSlot,2015/48,130,10
PhilSlot,2015/49,23,0
PhilSlot,2015/50,10,0
Philismyname,2016/04,41,0
Philismyname,2016/05,15,0
Philismyname,2016/07,1,0
Philismyname,2016/08,4,0
Philismyname,2016/09,2,0
Philismyname,2016/11,19,15
Philismyname,2016/12,44,0
Philismyname,2016/13,26,0
Philismyname,2016/14,42,7
PieForSlipper,2010/46,2,1
PieForSlipper,2010/47,22,2
PieForSlipper,2010/48,28,0
PieForSlipper,2010/49,13,0
PieForSlipper,2010/50,15,1
PieForSlipper,2010/52,16,2
PieForSlipper,2011/03,9,1
PieForSlipper,2011/04,10,1
PieForSlipper,2011/05,1,0
PieForSlipper,2011/06,20,2
PieForSlipper,2011/07,17,1
Pixaul,2014/05,67,0
Pixaul,2014/06,61,1
Pixaul,2014/09,10,1
Pixaul,2014/13,1,0
Pixaul,2014/25,4,0
Pixaul,2014/29,2,1
Pixaul,2014/33,3,0
Pixaul,2014/44,5,1
Pixaul,2015/13,11,7
PrincessJude,2015/23,28,0
PrincessJude,2015/27,25,0
PrincessJude,2015/29,4,0
PrincessJude,2015/30,39,9
PrincessJude,2015/31,9,1
PrincessJude,2015/34,19,2
PrincessJude,2015/36,45,0
PrincessJude,2015/41,4,0
Puck_Head,2011/37,15,0
Puck_Head,2011/38,28,6
Puck_Head,2011/39,6,0
Puck_Head,2011/44,2,0
Puck_Head,2012/14,5,0
Puck_Head,2012/17,4,0
Puck_Head,2012/28,18,0
Puck_Head,2012/34,14,0
Puck_Head,2012/40,18,17
Puck_Head,2013/16,4,0
Puck_Head,2013/23,29,0
Puck_Head,2014/33,2,0
PurePolitePale,2015/19,9,0
PurePolitePale,2015/20,9,0
PurePolitePale,2015/22,49,0
PurePolitePale,2015/23,12,4
PurePolitePale,2015/24,17,13
PurePolitePale,2015/30,11,0
PurePolitePale,2015/32,25,0
PurePolitePale,2015/34,1,0
PurePolitePale,2015/50,3,0
PurePolitePale,2016/04,4,0
PurePolitePale,2016/07,9,0
RACooperman,2009/30,73,0
RACooperman,2009/31,9,0
RACooperman,2009/33,1,0
RACooperman,2009/38,8,0
RACooperman,2009/41,11,11
RACooperman,2010/13,35,2
Redbaron123,2009/41,6,2
Redbaron123,2009/42,48,20
Redbaron123,2010/02,1,0
Redbaron123,2010/04,48,2
Redbaron123,2010/08,13,0
Redbaron123,2010/10,4,0
Redbaron123,2010/12,19,0
Redbaron123,2010/37,47,0
Renard99,2015/42,50,5
Renard99,2015/47,35,0
Renard99,2015/48,1,0
Renard99,2015/50,1,0
Renard99,2015/52,1,0
Renard99,2016/06,1,0
Renard99,2016/08,42,0
Renard99,2016/09,22,1
Renard99,2016/10,9,0
Renard99,2016/11,5,5
Renard99,2016/13,1,0
Rissared,2010/18,1,0
Rissared,2010/19,16,0
Rissared,2010/20,3,0
Rissared,2010/21,25,0
Rissared,2010/22,2,0
Rissared,2010/24,20,0
Rissared,2010/28,1,1
Rissared,2010/29,5,5
Rissared,2010/30,2,0
Rissared,2010/32,8,4
Rissared,2010/33,13,0
Rissared,2010/34,6,0
Rissared,2010/35,29,0
SPCotter,2016/10,83,0
SPCotter,2016/11,29,0
SPCotter,2016/12,3,0
SPCotter,2016/13,21,7
SPCotter,2016/14,26,26
SarahChiefette,2015/22,2,0
SarahChiefette,2015/23,40,0
SarahChiefette,2015/24,31,8
SarahChiefette,2015/30,6,6
SarahChiefette,2015/34,43,0
SarahChiefette,2016/05,16,10
SarahChiefette,2016/07,18,0
Saymantha,2009/39,19,9
Saymantha,2009/42,9,0
Saymantha,2009/43,9,1
Saymantha,2009/44,1,0
Saymantha,2009/46,37,4
Saymantha,2009/47,1,0
Saymantha,2009/50,13,0
Saymantha,2009/51,36,0
Saymantha,2009/53,4,0
Saymantha,2010/03,4,0
Saymantha,2010/13,1,0
Saymantha,2011/51,2,0
Saymantha,2012/02,11,0
Saymantha,2012/03,6,0
Saymantha,2012/19,2,0
Sean-C-7,2012/29,45,0
Sean-C-7,2012/30,16,0
Sean-C-7,2012/41,4,0
Sean-C-7,2012/42,4,0
Sean-C-7,2013/03,33,0
Sean-C-7,2013/04,16,2
Sean-C-7,2013/05,34,9
Sean-C-7,2013/06,2,0
Sebastien_SAFC,2014/41,10,0
Sebastien_SAFC,2014/42,4,0
Sebastien_SAFC,2015/01,43,0
Sebastien_SAFC,2015/04,27,0
Sebastien_SAFC,2015/06,16,0
Sebastien_SAFC,2015/08,8,0
Sebastien_SAFC,2015/09,1,0
Sebastien_SAFC,2015/15,7,0
Sebastien_SAFC,2015/16,1,0
Sebastien_SAFC,2015/18,1,0
Sebastien_SAFC,2015/22,1,0
Sebastien_SAFC,2015/23,1,1
Sebastien_SAFC,2015/24,10,10
Sirkent,2015/23,2,0
Sirkent,2015/25,13,11
Sirkent,2015/29,6,0
Sirkent,2015/32,3,0
Sirkent,2015/33,37,0
Sirkent,2015/34,11,0
Sirkent,2015/35,3,0
Sirkent,2015/44,9,0
Sirkent,2015/46,21,0
Sirkent,2015/51,13,0
Sirkent,2015/53,3,0
Sirkent,2016/08,18,1
Sirkent,2016/11,2,0
StarstruckAngel,2012/36,1,0
StarstruckAngel,2012/37,79,19
StarstruckAngel,2012/40,44,13
StarstruckAngel,2012/41,16,1
StarstruckAngel,2012/42,14,3
StarstruckAngel,2012/45,9,0
StarstruckAngel,2014/07,2,0
StaticVeins,2015/06,20,0
StaticVeins,2015/07,4,0
